,school,cwur,shanghai,times
588,FederalUniversityofSãoPaulo,589.0,,
589,SournIllinoisUniversityCarbondale,590.0,,
590,UniversityofAlaskaFairbanks,591.0,401-500,301-350
591,UniversityofToledo,592.0,,501-600
592,CarletonUniversity,593.0,401-500,501-600
593,CranfieldUniversity,594.0,,
594,CurtinUniversity,595.0,201-300,401-500
595,IndianInstituteofTechnologyBombay,596.0,,351-400
596,UniversityofPortsmouth,597.0,,401-500
597,OsakaPrefectureUniversity,598.0,,601-800
598,NagoyaCityUniversity,599.0,,
599,LSUHealthSciencesCenterNewOrleans,600.0,,
600,TataInstituteofFundamentalResearch,601.0,,
601,KonkukUniversity,602.0,,601-800
602,UniversityofLaLaguna,603.0,,501-600
603,UniversityofHertfordshire,604.0,,501-600
604,FloridaInternationalUniversity,605.0,401-500,401-500
605,UniversityofRhodeIsland,606.0,401-500,
606,MississippiStateUniversity,607.0,,
607,GunmaUniversity,608.0,,
608,UniversityofNewOrleans,609.0,,
609,PutraUniversityMalaysia,610.0,,
610,MemorialUniversityofNewfoundland,611.0,,501-600
611,UniversidadeNovadeLisboa,612.0,,
612,GriffithUniversity,613.0,301-400,251-300
613,IndianInstituteofTechnologyKharagpur,614.0,,401-500
614,SoochowUniversity(Suzhou),615.0,,
615,TexasA&MHealthScienceCenter,616.0,,
616,SemmelweisUniversity,617.0,,501-600
617,Lille2UniversityofHealthandLaw,618.0,,
618,KagoshimaUniversity,619.0,,
619,FlindersUniversity,620.0,301-400,251-300
620,QueenslandUniversityofTechnology,621.0,401-500,251-300
621,TokaiUniversity,622.0,,601-800
622,IstanbulUniversity,623.0,401-500,601-800
623,TokyoUniversityofAgricultureandTechnology,624.0,,501-600
624,LouisianaTechUniversity,625.0,,
625,UniversityofTexasatArlington,626.0,,501-600
626,ChinaAgriculturalUniversity,627.0,301-400,501-600
627,ChungnamNationalUniversity,628.0,,601-800
628,UniversityofMinho,629.0,,501-600
629,"UniversityofEasternPiedmont""AmedeoAvogadro""Italy3336756721869362364554073944.462015
631""OpenUniversity(UK)",630.0,,
630,UniversityofEssex,632.0,401-500,301-350
631,ParisEstCréteilValdeMarneUniversity,633.0,,
632,HacettepeUniversity,634.0,,601-800
633,StateUniversityofNewYorkUpstateMedicalUniversity,635.0,,
634,BraunschweigUniversityofTechnology,636.0,,
635,UniversityofSalamanca,637.0,,501-600
636,IndianInstituteofTechnologyRoorkee,638.0,,501-600
637,ÖrebroUniversity,639.0,,301-350
638,NorastNormalUniversity,640.0,,
639,UniversityofPatras,641.0,,601-800
640,BeijingUniversityofChemicalTechnology,642.0,,
641,NorrnIllinoisUniversity,643.0,,
642,RoviraiVirgiliUniversity,644.0,,
643,LaTrobeUniversity,645.0,,351-400
644,WarsawUniversityofTechnology,646.0,,601-800
645,BinghamtonUniversity,647.0,,
646,ShizuokaUniversity,648.0,,
647,HongKongBaptistUniversity,649.0,,351-400
648,AlbanyMedicalCollege,650.0,,
649,EhimeUniversity,651.0,,601-800
650,UniversityofLosAndes(Colombia),652.0,,
651,PolytechnicUniversityofTurin,653.0,,351-400
652,UniversityofBurgundy,654.0,,501-600
653,UniversityofIdaho,655.0,,401-500
654,OldDominionUniversity,656.0,,
655,YamaguchiUniversity,657.0,,
656,MasseyUniversity,658.0,,501-600
657,DonghuaUniversity,659.0,,
658,UniversityofBalearicIslands,660.0,,
659,PortlandStateUniversity,661.0,,501-600
660,MarchePolytechnicUniversity,662.0,,401-500
661,UniversityofQuébecatMontreal,663.0,,
662,UNESPSãoPauloStateUniversity,664.0,,
663,LomaLindaUniversity,665.0,,
664,UniversityofToyama,666.0,,
665,UniversityofDebrecen,667.0,,601-800
666,UniversityofMaineOrono,668.0,,
667,GrazUniversityofTechnology,669.0,,351-400
668,GifuUniversity,670.0,,601-800
669,UniversityofJyväskylä,671.0,,351-400
670,UniversityofParis13,672.0,,
671,UniversityofGirona,673.0,,
672,KeeleUniversity,674.0,,401-500
673,UniversityofPoitiers,675.0,,
674,UniversityofInsubria,676.0,,
675,WuhanUniversityofTechnology,677.0,,
676,UniversityofPretoria,678.0,,501-600
677,BanarasHinduUniversity,679.0,,
678,UniversityofL'Aquila,680.0,,
679,UniversityofAlicante,681.0,,
680,AmericanUniversityofBeirut,682.0,,501-600
681,UniversityofUlster,683.0,,
682,ShanghaiUniversity,684.0,,601-800
683,ComeniusUniversityBratislava,685.0,,601-800
684,UniversityofVigo,686.0,,601-800
685,UniversityofNevadaLasVegas,687.0,,
686,SwinburneUniversityofTechnology,688.0,301-400,351-400
687,TilburgUniversity,689.0,,201-250
688,UniversityofMessina,690.0,,
689,KaiserslauternUniversityofTechnology,691.0,,
690,UniversityofKent,692.0,,301-350
691,UniversityofMálaga,693.0,,
692,LoughboroughUniversity,694.0,,351-400
693,NationalTechnicalUniversityofAns,695.0,,501-600
694,LiverpoolJohnMooresUniversity,696.0,,501-600
695,SharifUniversityofTechnology,697.0,401-500,401-500
696,BirkbeckUniversityofLondon,698.0,,201-250
697,UniversityFrançoisRabelaisTours,699.0,,
698,UniversityofHaifa,700.0,,501-600
699,RomaTreUniversity,701.0,,
700,MasarykUniversity,702.0,,501-600
701,UniversityofSalerno,703.0,,
702,KingAbdullahUniversityofScienceandTechnology,704.0,301-400,
703,BeihangUniversity,705.0,301-400,
704,FuzhouUniversity,706.0,,
705,HeriotWattUniversity,707.0,,401-500
706,ChinaMedicalUniversity(Taiwan),708.0,,
707,UniversityofCantabria,709.0,,
708,RochesterInstituteofTechnology,710.0,,601-800
709,RoyalCollegeofSurgeonsIreland,711.0,,251-300
710,SanFranciscoStateUniversity,712.0,,
711,SapporoMedicalUniversity,713.0,,
712,IndianInstituteofTechnologyKanpur,714.0,,501-600
713,JohannesKeplerUniversityofLinz,715.0,,401-500
714,CzechTechnicalUniversityPrague,716.0,,501-600
715,MarquetteUniversity,717.0,,
716,MissouriUniversityofScienceandTechnology,718.0,,501-600
717,HowardUniversity,719.0,,401-500
718,AstonUniversity,720.0,,401-500
719,ÉcolenormalesupérieuredeCachan,721.0,,
720,JichiMedicalUniversity,722.0,,
721,RutgersStateUniversityofNewJerseyNewark,723.0,,
722,PalackýUniversityOlomouc,724.0,,501-600
723,AnkaraUniversity,725.0,,
724,UniversityofBelgrade,726.0,301-400,601-800
725,TohoUniversity,727.0,,
726,KyotoPrefecturalUniversityofMedicine,728.0,,
727,SwanseaUniversity,729.0,,351-400
728,UniversitédeNamur,730.0,,
729,UniversityofSzeged,731.0,401-500,601-800
730,KitasatoUniversity,732.0,,
731,HasseltUniversity,733.0,,
732,UniversityofCórdoba(Spain),734.0,,
733,ÅboAkademiUniversity,735.0,,
734,TottoriUniversity,736.0,,601-800
735,KindaiUniversity,737.0,,
736,UniversityofCastillaLaMancha,738.0,,601-800
737,UniversityofAugsburg,739.0,,
738,PaulValéryUniversityMontpellierIII,740.0,,
739,UniversityofMons,741.0,,
740,IstanbulTechnicalUniversity,742.0,,501-600
741,UniversityofNaturalResourcesandLifeSciencesVienna,743.0,,
742,NationalUniversityofLaPlata,744.0,,
743,UniversityofCalabria,745.0,,
744,UniversityofMemphis,746.0,,
745,G.d'AnnunzioUniversityChietiPescara,747.0,,
746,UniversityofMissouriSt.Louis,748.0,,
747,BeijingInstituteofTechnology,749.0,,601-800
748,UniversityofÉvryVald'Essonne,750.0,,
749,UniversityofSouthAustralia,751.0,,351-400
750,UniversityofAlabamaHuntsville,752.0,,
751,UniversityofSalzburg,753.0,,
752,UniversityofMississippiMedicalCenter,754.0,,
753,NationalResearchNuclearUniversityMEPhI,755.0,,
754,ChungAngUniversity,756.0,,501-600
755,KaohsiungMedicalUniversity,757.0,,601-800
756,UniversityofNeuchâtel,758.0,,401-500
757,UniversityofYamanashi,759.0,,
758,YamagataUniversity,760.0,,
759,NewJerseyInstituteofTechnology,761.0,,501-600
760,EastCarolinaUniversity,762.0,,
761,UniversityofHyogo,763.0,,
762,UniversityofPicardieJulesVerne,764.0,,
763,UniversityofSalento,765.0,,401-500
764,NorrnArizonaUniversity,766.0,,
765,MiguelHernándezUniversityofElche,767.0,,
766,UniversityofTehran,768.0,201-300,601-800
767,BlaisePascalUniversity,769.0,,501-600
768,YeungnamUniversity,770.0,,601-800
769,KurumeUniversity,771.0,,
770,InstitutnationaldessciencesAppliquéesdeLyon,772.0,,
771,SagaUniversity,773.0,,
772,ChongqingUniversity,774.0,,601-800
773,JikeiUniversitySchoolofMedicine,775.0,,
774,SecondMilitaryMedicalUniversity,776.0,,
775,JawaharlalNehruCentreforAdvancedScientificResearch,777.0,,
776,UniversityofNorthTexasDenton,778.0,,
777,EgeUniversity,779.0,,
778,MieUniversity,780.0,,
779,ÉcolePolytechniquedeMontréal,781.0,,
780,AGHUniversityofScienceandTechnology,782.0,,601-800
781,UniversityofElectronicScienceandTechnologyofChina,783.0,,601-800
782,UniversityofStirling,784.0,,351-400
783,UniversityofGreifswald,785.0,,301-350
784,NationalPolytechnicInstitute,786.0,,
785,JacobsUniversityBremen,787.0,,
786,CapitalMedicalUniversity,788.0,401-500,601-800
787,NorwegianUniversityofLifeSciences,789.0,,
788,MichiganTechnologicalUniversity,790.0,,
789,VilniusUniversity,791.0,,601-800
790,NorthDakotaStateUniversityMainCampus,792.0,,
791,UniversityofHohenheim,793.0,,301-350
792,UniversityofNorthCarolinaatCharlotte,794.0,,
793,ZhengzhouUniversity,795.0,,
794,CairoUniversity,796.0,401-500,601-800
795,UniversityofCaenLowerNormandy,797.0,,
796,SaitamaMedicalUniversity,798.0,,
797,UniversityofMurcia,799.0,,601-800
798,ShowaUniversity,800.0,,601-800
799,UniversityofOldenburg,801.0,,
800,MagnaGræciaUniversityofCatanzaro,802.0,,
801,NationalSunYatsenUniversity,803.0,,
802,NanjingUniversityofScienceandTechnology,804.0,,
803,UniversityofConcepción,805.0,,
804,ChungbukNationalUniversity,806.0,,
805,TaipeiMedicalUniversity,807.0,,601-800
806,JaumeIUniversity,808.0,,
807,BowlingGreenStateUniversity,809.0,,
808,NanjingUniversityofTechnology,810.0,,
809,UniversityofNewEngland(Australia),811.0,,
810,KangwonNationalUniversity,812.0,,
811,InjeUniversity,813.0,,
812,AberystwythUniversity,814.0,,301-350
813,UniversityofTechnologySydney,815.0,301-400,201-250
814,UniversityofFrancheComté,816.0,,
815,UniversityofSassari,817.0,,
816,ChiangMaiUniversity,818.0,,601-800
817,BudapestUniversityofTechnologyandEconomics,819.0,,601-800
818,UniversityofMaribor,820.0,,501-600
819,UniversityofBradford,821.0,,601-800
820,UniversityofPerpignanViaDomitia,822.0,,
821,FloridaInstituteofTechnology,823.0,,601-800
822,UniversityofBrighton,824.0,,601-800
823,UniversityofMassachusettsBoston,825.0,,
824,RiodeJaneiroStateUniversity,826.0,,
825,NagoyaInstituteofTechnology,827.0,,
826,JiangnanUniversity,828.0,,
827,MurdochUniversity,829.0,,401-500
828,UniversityofWalesTrinitySaintDavid,830.0,,
829,UniversityofRouen,831.0,,
830,CatholicUniversityofAmerica,832.0,,
831,WrightStateUniversityDayton,833.0,,
832,DankookUniversity,834.0,,
833,ClarksonUniversity,835.0,,
834,UniversityofRegina,836.0,,501-600
835,BoğaziçiUniversity,837.0,,501-600
836,KōchiUniversity,838.0,,
837,UniversityofMiyazaki,839.0,,
838,UniversityofElectroCommunications,840.0,,
839,UniversityofValladolid,841.0,,
840,BilkentUniversity,842.0,,351-400
841,DublinCityUniversity,843.0,,401-500
842,UniversityofSouthAlabama,844.0,,
843,SofiaUniversity,845.0,,
844,OceanUniversityofChina,846.0,,601-800
845,KingFahdUniversityofPetroleumandMinerals,847.0,,501-600
846,UniversityofVeterinaryMedicineVienna,848.0,,
847,UniversityofAlcalá,849.0,,601-800
848,HunterCollege,850.0,,
849,AllIndiaInstituteofMedicalSciencesNewDelhi,851.0,,
850,GaziUniversity,852.0,,
851,NationalUniversityofIrelandMaynooth,853.0,,351-400
852,TehranUniversityofMedicalSciences,854.0,,501-600
853,UniversityofRyukyus,855.0,,
854,FloridaAtlanticUniversity,856.0,,
855,UniversityofSiegen,857.0,,
856,HuazhongAgriculturalUniversity,858.0,,
857,UniversityofAngers,859.0,,
858,UniversityofSeoul,860.0,,601-800
859,BrockUniversity,861.0,,
860,FukuokaUniversity,862.0,,
861,HamamatsuUniversitySchoolofMedicine,863.0,,
862,NanjingNormalUniversity,864.0,,
863,NationalChungChengUniversity,865.0,,601-800
864,NanjingAgriculturalUniversity,866.0,,
865,UniversityofRepublic(Uruguay),867.0,,
866,SejongUniversity,868.0,,601-800
867,MakerereUniversity,869.0,,401-500
868,UniversityofNewBrunswick,870.0,,
869,NorasternUniversity(China),871.0,,
870,UniversityofExtremadura,872.0,,
871,RMITUniversity,873.0,,401-500
872,RoyalVeterinaryCollegeUniversityofLondon,874.0,,
873,ChungYuanChristianUniversity,875.0,,601-800
874,UniversityofOsnabrück,876.0,,
875,NorthwestUniversity(China),877.0,,
876,ChosunUniversity,878.0,,
877,UniversityofOrléans,879.0,,
878,JeanMonnetUniversity,880.0,,
879,ÉcolecentraledeLyon,881.0,,
880,UniversityofWesternSydney,882.0,,
881,HefeiUniversityofTechnology,883.0,,
882,UniversityofMassachusettsLowell,884.0,,
883,ManchesterMetropolitanUniversity,885.0,,501-600
884,NanjingMedicalUniversity,886.0,401-500,
885,KyotoInstituteofTechnology,887.0,,
886,ShanghaiNormalUniversity,888.0,,
887,SouthwestUniversity,889.0,,
888,AdamMickiewiczUniversityPoznań,890.0,,
889,UniversityofCalcutta,891.0,,601-800
890,UniversityofPécs,892.0,,601-800
891,QueensCollegeCityUniversityofNewYork,893.0,,
892,UniversityofLleida,894.0,,
893,NanjingUniversityofAeronauticsandAstronautics,895.0,,
894,UniversityofWesternBrittany,896.0,,
895,UniversityofNorthCarolinaatGreensboro,897.0,,501-600
896,PukyongNationalUniversity,898.0,,
897,FourthMilitaryMedicalUniversity,899.0,,
898,UniversityofFukui,900.0,,
899,UniversityofSournMississippi,901.0,,601-800
900,UniversityofMannheim,902.0,,106
901,ShimaneUniversity,903.0,,
902,ChinaUniversityofGeosciences(Wuhan),904.0,,601-800
903,Universityofssaly,905.0,,
904,OaklandUniversity,906.0,,601-800
905,WilfridLaurierUniversity,907.0,,
906,TeikyoUniversity,908.0,,
907,SaitamaUniversity,909.0,,601-800
908,TrentUniversity,910.0,,
909,NicolausCopernicusUniversityToruń,911.0,,
910,TarbiatModaresUniversity,912.0,,
911,UniversityofNorthDakota,913.0,,
912,IsfahanUniversityofTechnology,914.0,,501-600
913,FluminenseFederalUniversity,915.0,,
914,NationalTaiwanUniversityofScienceandTechnology,916.0,,
915,UniversityofLethbridge,917.0,,
916,FederalUniversityofSantaCatarina,918.0,,601-800
917,UniversityofCamerino,919.0,,
918,UniversityofBrasília,920.0,,601-800
919,UniversityofWrocław,921.0,,
920,UniversityofBasilicata,922.0,,
921,JadavpurUniversity,923.0,,501-600
922,SouthChinaNormalUniversity,924.0,,
923,UniversityofHyderabad,925.0,,
924,RitsumeikanUniversity,926.0,,
925,CarlosIIIUniversityofMadrid,927.0,,601-800
926,UniversityofCyprus,928.0,,351-400
927,UniversityofTexasatElPaso,929.0,,601-800
928,UniversityofCádiz,930.0,,
929,ShahidBeheshtiUniversityofMedicalSciences,931.0,,
930,NationalTaiwanNormalUniversity,932.0,,501-600
931,NationalUniversityofCórdoba,933.0,,601-800
932,FederalUniversityofParaná,934.0,,
933,UniversityofJaén,935.0,,
934,UniversityofCaliforniaMerced,936.0,,
935,UniversityofWaikato,937.0,,401-500
936,UniversityofCentralLancashire,938.0,,601-800
937,FederalUniversityofPernambuco,939.0,,
938,UniversityofAlmería,940.0,,
939,FederalUniversityofSãoCarlos,941.0,,601-800
940,CharlesDarwinUniversity,942.0,,251-300
941,YangzhouUniversity,943.0,,
942,WrocławUniversityofTechnology,944.0,,
943,HirosakiUniversity,945.0,,
944,NationalTaiwanOceanUniversity,946.0,,601-800
945,JiangsuUniversity,947.0,,
946,NorthwesternPolytechnicalUniversity,948.0,,601-800
947,XiangtanUniversity,949.0,,
948,UnitedArabEmiratesUniversity,950.0,,501-600
949,GachonUniversity,951.0,,
950,HallymUniversity,952.0,,
951,HarbinEngineeringUniversity,953.0,,
952,DokuzEylülUniversity,954.0,,
953,JinanUniversity,955.0,,
954,ShirazUniversity,956.0,,
955,ThirdMilitaryMedicalUniversity,957.0,,
956,AmirkabirUniversityofTechnology,958.0,,501-600
957,PublicUniversityofNavarre,959.0,,
958,FedericoSantaMaríaTechnicalUniversity,960.0,,401-500
959,FederalUniversityofABC,961.0,,
960,UniversityofPuertoRicoatMayagüez,962.0,,
961,SournMedicalUniversity,963.0,,
962,UniversityofSilesia,964.0,,
963,AinShamsUniversity,965.0,,
964,UniversityofValenciennesandHainautCambresis,966.0,,
965,ChungShanMedicalUniversity,967.0,,
966,NationalUniversityofColombia,968.0,,
967,SouthChinaAgriculturalUniversity,969.0,,
968,IbarakiUniversity,970.0,,
969,FuJenCatholicUniversity,971.0,,601-800
970,HunanNormalUniversity,972.0,,
971,UlsanNationalInstituteofScienceandTechnology,973.0,,
972,FederalUniversityofSantaMaria,974.0,,
973,ShenzhenUniversity,975.0,,
974,TianjinMedicalUniversity,976.0,,
975,BeijingUniversityofTechnology,977.0,,
976,UniversityofReimsChampagneArdenne,978.0,,
977,YuanZeUniversity,979.0,,601-800
978,UniversityofChemistryandTechnologyPrague,980.0,,601-800
979,UniversityofLimerick,981.0,,501-600
980,ChinaMedicalUniversity(PRC),982.0,,
981,FengChiaUniversity,983.0,,601-800
982,ZhejiangUniversityofTechnology,984.0,,
983,NovosibirskStateUniversity,985.0,,401-500
984,UniversityofBucharest,986.0,,601-800
985,BabeșBolyaiUniversity,987.0,,
986,MansouraUniversity,988.0,,
987,UniversityofPauandPaysdel'Adour,989.0,,
988,HenanNormalUniversity,990.0,,
989,XidianUniversity,991.0,,601-800
990,FederalUniversityofBahia,992.0,,601-800
991,SouthwestJiaotongUniversity,993.0,,
992,RyersonUniversity,994.0,,
993,KingAbdulazizUniversity,995.0,151-200,251-300
994,UniversityofAlgarve,996.0,,
995,AlexandriaUniversity,997.0,,601-800
996,FederalUniversityofCeará,998.0,,
997,UniversityofACoruña,999.0,,601-800
998,ChinaPharmaceuticalUniversity,1000.0,,
999,MassachusettsInstituteofTechnology(MIT),,3,
1000,UniversityofWashington,,15,32
1001,ImperialCollegeofScienceTechnologyandMedicine,,23,
1002,UniversityofColoradoatBoulder,,34,
1003,PierreandMarieCurieUniversityParis6,,36,
1004,UniversityofParisSud(Paris11),,41,
1005,UniversityofTexasSouthwesternMedicalCenteratDallas,,44,
1006,HeidelbergUniversity,,46,37
1007,TechnicalUniversityMunich,,51,
1008,UniversityofMunich,,52,
1009,RutgersStateUniversityofNewJerseyNewBrunswick,,64,
1010,EcoleNormaleSuperieureParis,,72,
1011,MoscowStateUniversity,,86,
1012,KULeuven,,90,35
1013,TexasA&MUniversity,,100,193
1014,UniversitélibredeBruxelles(ULB),,101-150,
1015,LondonSchoolofEconomicsandPoliticalScience,,101-150,23
1016,MayoMedicalSchool,,101-150,
1017,NorwegianUniversityofScienceandTechnologyNTNU,,101-150,
1018,UniversityofTexasM.D.AndersonCancerCenter,,101-150,
1019,UniversityofFrankfurt,,101-150,
1020,UniversityofFreiburg,,101-150,84
1021,UniversityofGoettingen,,101-150,
1022,UniversityofMassachusettsMedicalSchoolWorcester,,101-150,
1023,UniversityofMuenster,,101-150,
1024,UniversityofSaoPaulo,,101-150,
1025,UniversityofWageningen,,101-150,
1026,UniversityParisDiderotParis7,,101-150,
1027,CatholicUniversityofLouvain,,151-200,
1028,ErasmusUniversity,,151-200,
1029,JosephFourierUniversity(Grenoble1),,151-200,
1030,NorthCarolinaStateUniversityRaleigh,,151-200,
1031,OregonHealthandScienceUniversity,,151-200,201-250
1032,UniversityofKoeln,,151-200,
1033,UniversityofParisDescartes(Paris5),,151-200,
1034,UniversityofTuebingen,,151-200,
1035,UniversityofWuerzburg,,151-200,
1036,ColoradoStateUniversity,,201-300,251-300
1037,EcoleNormaleSuperieureLyon,,201-300,
1038,VrijeUniversiteitBrussel(VUB),,201-300,
1039,IndianaUniversityPurdueUniversityatIndianapolis,,201-300,
1040,KarlsruheInstituteofTechnology(KIT),,201-300,
1041,KoreaAdvancedInstituteofScienceandTechnology,,201-300,
1042,KTHRoyalInstituteofTechnology,,201-300,155
1043,PaulSabatierUniversity(Toulouse3),,201-300,
1044,PolytechnicInstituteofMilan,,201-300,
1045,UniversityofNewMexicoAlbuquerque,,201-300,
1046,ToulouseSchoolofEconomics,,201-300,
1047,TUDresden,,201-300,158
1048,UniversityofLeipzig,,201-300,
1049,UniversityofLiege,,201-300,
1050,UniversityofMainz,,201-300,
1051,UniversityofSouthFlorida,,201-300,201-250
1052,WesternUniversity,,201-300,
1053,XianJiaoTongUniversity,,201-300,
1054,ChinaMedicalUniversity,,301-400,
1055,CityUniversityofNewYorkCityCollege,,301-400,
1056,EcolePolytechnique,,301-400,
1057,ESPCIParisTech,,301-400,
1058,LinkopingUniversity,,301-400,
1059,ParisDauphineUniversity(Paris9),,301-400,
1060,ScuolaNormaleSuperiorePisa,,301-400,
1061,UniversityofNewcastleAustralia,,301-400,
1062,UmeaUniversity,,301-400,
1063,UNESP,,301-400,
1064,UniversityatAlbany(StateUniversityofNewYork),,301-400,
1065,UniversityofBochum,,301-400,
1066,UniversityofColoradoatDenver,,301-400,
1067,UniversityofDuesseldorf,,301-400,
1068,UniversityofGiessen,,301-400,
1069,UniversityofNewHampshireDurham,,301-400,
1070,WashingtonStateUniversity,,301-400,351-400
1071,CatholicUniversityofChile,,401-500,
1072,EotvosLorandUniversity,,401-500,
1073,KingFahdUniversityofPetroleum&Minerals,,401-500,
1074,MINESParisTech,,401-500,
1075,NationalSunYatSenUniversity,,401-500,501-600
1076,OklahomaStateUniversity,,401-500,501-600
1077,SoochowUniversity,,401-500,501-600
1078,StateUniversityofNewYorkHealthScienceCenteratBrooklyn,,401-500,
1079,StockholmSchoolofEconomics,,401-500,
1080,TechnicalUniversityDarmstadt,,401-500,
1081,TechnicalUniversityofBraunschweig,,401-500,
1082,TexasTechUniversity,,401-500,601-800
1083,UniversityofArkansasatFayetteville,,401-500,
1084,UniversityofArkansasatLittleRock,,401-500,
1085,UniversityofAuvergne,,401-500,
1086,UniversityofHalleWittenberg,,401-500,
1087,UniversityofHannover,,401-500,
1088,UniversityofJyvaskyla,,401-500,
1089,UniversityofOklahomaNorman,,401-500,
1090,UniversityofQuebec,,401-500,
1091,UniversityofRomaTorVergata,,401-500,
1092,UniversityofSantiagoCompostela,,401-500,
1093,ETHZurichSwissFederalInstituteofTechnologyZurich,,,9
1094,UniversityofMichigan,,,21
1095,King’sCollegeLondon,,,27
1096,LMUMunich,,,29
1097,ÉcolePolytechniqueFédéraledeLausanne,,,31
1098,WageningenUniversityandResearchCenter,,,47
1099,ÉcoleNormaleSupérieure,,,54
1100,WashingtonUniversityStLouis,,,60
1101,UniversityofMinnesota,,,65
1102,PennsylvaniaStateUniversity,,,75
1103,UniversityofPittsburgh,,,79
1104,OhioStateUniversity,,,90
1105,PurdueUniversity,,,113
1106,RutgersStateUniversityofNewJersey,,,123
1107,UniversityofMassachusetts,,,141
1108,SungkyunkwanUniversity(SKKU),,,153
1109,UniversitéCatholiquedeLouvain,,,167
1110,ScuolaSuperioreSant’Anna,,,180
1111,UniversityofWürzburg,,,185
1112,ParisSudUniversity,,,188
1113,UlmUniversity,,,192
1114,UniversityofLuxembourg,,,193
1115,CharitéUniversitätsmedizinBerlin,,,195
1116,StGeorge’sUniversityofLondon,,,196
1117,Queen’sUniversityBelfast,,,200
1118,UniversityatBuffalo,,,201-250
1119,CopenhagenBusinessSchool,,,201-250
1120,ÉcoleNormaleSupérieuredeLyon,,,201-250
1121,UniversityofHawai’iatMānoa,,,201-250
1122,IndianaUniversity,,,201-250
1123,PeterGreatStPetersburgPolytechnicUniversity,,,201-250
1124,RoyalVeterinaryCollege,,,201-250
1125,TechnicalUniversityofDarmstadt,,,201-250
1126,UniversityofWesternOntario,,,201-250
1127,William&Mary,,,201-250
1128,BayreuthUniversity,,,251-300
1129,KoçUniversity,,,251-300
1130,Queen’sUniversity,,,251-300
1131,TomskPolytechnicUniversity,,,251-300
1132,KazanFederalUniversity,,,301-350
1133,LeibnizUniversityofHanover,,,301-350
1134,MontpellierUniversity,,,301-350
1135,NationalResearchNuclearUniversityMePhI,,,301-350
1136,NationalTaiwanUniversityofScienceandTechnology(TaiwanTech),,,301-350
1137,Toulouse1CapitoleUniversity,,,301-350
1138,VŠBTechnicalUniversityofOstrava,,,301-350
1139,BinghamtonUniversityStateUniversityofNewYork,,,351-400
1140,UniversityofStGallen,,,351-400
1141,InstitutoSuperiorTécnicoLisboa,,,351-400
1142,UniversityofMissouri,,,351-400
1143,UniversityofMontana,,,351-400
1144,PanthéonSorbonneUniversityParis1,,,351-400
1145,UniversityofRomeIII,,,351-400
1146,SabancıUniversity,,,351-400
1147,UniversityofSouthCarolina,,,351-400
1148,UniversityofSouthDakota,,,351-400
1149,StateUniversityofCampinas,,,351-400
1150,UiTArcticUniversityofNorway,,,351-400
1151,UniversitéLibredeBruxelles,,,351-400
1152,Lille2UniversityHealthandLaw,,,351-400
1153,VeronaUniversity,,,351-400
1154,AmericanUniversity,,,401-500
1155,BournemouthUniversity,,,401-500
1156,BrnoUniversityofTechnology,,,401-500
1157,BrunelUniversityLondon,,,401-500
1158,Ca’FoscariUniversityofVenice,,,401-500
1159,ChinaMedicalUniversityTaiwan,,,401-500
1160,IranUniversityofScienceandTechnology,,,401-500
1161,UniversityofKaiserslautern,,,401-500
1162,LouisianaStateUniversity,,,401-500
1163,UniversityofMacau,,,401-500
1164,NationalInstituteofAppliedSciencesofLyon(INSALyon),,,401-500
1165,NewUniversityofLisbon,,,401-500
1166,OpenUniversity,,,401-500
1167,OxfordBrookesUniversity,,,401-500
1168,UniversityofRomeIITorVergata,,,401-500
1169,UniversityofRoviraiVirgili,,,401-500
1170,UniversityofSanFrancisco,,,401-500
1171,SournCrossUniversity,,,401-500
1172,StateUniversityofNewYorkAlbany,,,401-500
1173,TokyoMedicalandDentalUniversity(TMDU),,,401-500
1174,UlsterUniversity,,,401-500
1175,UniversitéduQuébecàMontréal,,,401-500
1176,UniversitiTeknologiMalaysia,,,401-500
1177,UniversityofUrbinoCarloBo,,,401-500
1178,WesternSydneyUniversity,,,401-500
1179,UniversityofAndesColombia,,,501-600
1180,UniversityofArkansas,,,501-600
1181,BabeşBolyaiUniversity,,,501-600
1182,BaumanMoscowStateTechnicalUniversity,,,501-600
1183,UniversityofCanberra,,,501-600
1184,CentralQueenslandUniversity,,,501-600
1185,DeMontfortUniversity,,,501-600
1186,EdithCowanUniversity,,,501-600
1187,IndianInstituteofTechnologyGuwahati,,,501-600
1188,LappeenrantaUniversityofTechnology,,,501-600
1189,MontanaStateUniversity,,,501-600
1190,MonterreyInstituteofTechnologyandHigherEducation,,,501-600
1191,OttovonGuerickeUniversityofMagdeburg,,,501-600
1192,ParisDauphineUniversity,,,501-600
1193,PontificalCatholicUniversityofRiodeJaneiro(PUCRio),,,501-600
1194,QuaidiazamUniversity,,,501-600
1195,UniversitédeSherbrooke,,,501-600
1196,TallinnUniversityofTechnology,,,501-600
1197,UniversityofTulsa,,,501-600
1198,Xi’anJiaotongUniversity,,,501-600
1199,AdamMickiewiczUniversity,,,601-800
1200,AlexandruIoanCuzaUniversity,,,601-800
1201,AligarhMuslimUniversity,,,601-800
1202,AmericanUniversityofSharjah,,,601-800
1203,AmritaUniversity,,,601-800
1204,AnadoluUniversity,,,601-800
1205,AndhraUniversity,,,601-800
1206,UniversityofAntioquia,,,601-800
